burgers,eggs,0.02879616051193174,0.33027522935779813,1.8378297443715457
burgers,french fries,0.021997067057725635,0.25229357798165136,1.4761732671141707
mineral water,burgers,0.024396747100386616,0.2798165137614679,1.1738834841861134
burgers,spaghetti,0.021463804826023197,0.24617737003058102,1.4139176513012162
mineral water,cake,0.027463004932675644,0.33881578947368424,1.4213966649005065
mineral water,chicken,0.022796960405279298,0.38000000000000006,1.5941722595078303
chocolate,eggs,0.03319557392347687,0.20260374288039054,1.1273966434316094
chocolate,french fries,0.03439541394480736,0.209926769731489,1.2282844771886887
chocolate,frozen vegetables,0.022930275963204905,0.13995117982099267,1.468215104667505
chocolate,green tea,0.023463538194907346,0.14320585842148087,1.0839426276685449
chocolate,ground beef,0.023063591521130515,0.1407648494711147,1.4326691124597442
milk,chocolate,0.03212904946007199,0.19609438567941412,1.5132757067708698
mineral water,chocolate,0.05265964538061592,0.05265964538061592,1.0
chocolate,spaghetti,0.03919477403012932,0.23921887713588283,1.3739516059695691
cooking oil,mineral water,0.020130649246767097,0.3942558746736292,1.6539783646123563
french fries,eggs,0.036395147313691506,0.20252225519287834,1.1849605586597352
frozen vegetables,eggs,0.021730435941874418,0.12091988130563798,1.2685594820609658
green tea,eggs,0.025463271563791495,0.14169139465875372,1.0724794665341189
milk,eggs,0.03079589388081589,0.17136498516320472,1.322436989412756
mineral water,eggs,0.05092654312758299,0.05092654312758299,1.0
pancakes,eggs,0.021730435941874418,0.12091988130563798,1.27211785367965
eggs,spaghetti,0.036528462871617116,0.2032640949554896,1.1674456173515526
green tea,french fries,0.028529529396080524,0.1669266770670827,1.263488400282732
milk,french fries,0.023730169310758567,0.1388455538221529,1.0714819950822727
pancakes,french fries,0.020130649246767097,0.11778471138845555,1.2391348108342286
frozen smoothie,mineral water,0.020263964804692707,0.32,1.342460850111857
milk,frozen vegetables,0.023596853752832957,0.24755244755244757,1.9103815937149273
mineral water,frozen vegetables,0.03572856952406346,0.37482517482517486,1.57246288387228
frozen vegetables,spaghetti,0.027862951606452472,0.29230769230769227,1.678866768759571
green tea,spaghetti,0.026529796027196375,0.2008072653884965,1.153334837426579
milk,ground beef,0.021997067057725635,0.22388059701492538,1.7277040722314356
mineral water,ground beef,0.040927876283162246,0.41655359565807326,1.7475215442008991
spaghetti,ground beef,0.03919477403012932,0.3989145183175034,2.291162176033379
mineral water,low fat yogurt,0.023996800426609784,0.313588850174216,1.315564857470243
milk,mineral water,0.04799360085321957,0.3703703703703704,1.5537741320739085
milk,spaghetti,0.03546193840821224,0.27366255144032925,1.5717785592296398
mineral water,olive oil,0.027596320490601255,0.11577181208053693,1.7579035676439423
mineral water,pancakes,0.03372883615517931,0.14149888143176736,1.4886158620191963
mineral water,shrimp,0.023596853752832957,0.09899328859060404,1.385351973354703
mineral water,soup,0.023063591521130515,0.09675615212527965,1.9149548735929356
mineral water,spaghetti,0.05972536995067324,0.05972536995067324,1.0
tomatoes,mineral water,0.024396747100386616,0.10234899328859061,1.4965298219448697
mineral water,whole wheat rice,0.020130649246767097,0.08445190156599552,1.4429925140012128
spaghetti,olive oil,0.022930275963204905,0.3481781376518219,1.999758201015556
pancakes,spaghetti,0.025196640447940274,0.2650771388499299,1.522468314328732
shrimp,spaghetti,0.021197173710171976,0.2966417910447761,1.7037596283513519
tomatoes,spaghetti,0.020930542594320756,0.12021439509954057,1.7577547322449392
